Segment,Persona alignment,Action,Channel,Cadence,P1 reference,Expected impact
Champions,"Connoisseur (primary), Daily Ritualist (secondary)",Retention + advocacy program,Personal email from Sebastian (Roaster) + private events,"Monthly (low-volume, high-touch)","E5 Comparison Test (Connoisseur), E10 Community Invitation (DR)","Maintain 90%+ retention, +20% LTV via referrals"
Loyal Customers,Connoisseur (primary),Subscription upsell + loyalty rewards,Email automation (HubSpot workflow),Bi-weekly with seasonal campaigns,E4 Subscription Pitch (Connoisseur sequence),15-25% subscription conversion
Potential Loyalists,"Connoisseur (probable, early stage)",Accelerated nurture to reach Loyal status,Email automation + SMS triggers,"Weekly for 60 days, then bi-weekly",Full Connoisseur 5-email sequence,30-40% promote to Loyal within 90 days
Recent Customers,Either persona (insufficient signal),Onboarding + persona discovery,Email automation + welcome survey,4 emails over 14 days,E1 Welcome (both personas),Survey response 25-35% → enables persona-specific routing
Promising,Daily Ritualist (probable),Coffra Pass introduction,Email + targeted Instagram ads,Bi-weekly with social media touchpoints,E4 Coffra Pass (Daily Ritualist sequence),10-15% Coffra Pass conversion
Customers Needing Attention,Mostly Daily Ritualist,Re-engagement with personalization,Email with last-purchase reminder,3-touch campaign over 21 days,"Adapt cart recovery emails (T+1h, T+24h, T+72h)",20% reactivation rate
Cannot Lose Them,"Connoisseur (high-value, slipping)",High-priority win-back from Sebastian directly,Personal email + phone call (if churn risk high),"1-on-1, immediate",Custom message — no template applies,"40-50% win-back, justifies high-touch cost"
About to Sleep,Daily Ritualist (drift mode),Light reminder of Coffra value,Email automation,2 emails over 30 days,"E3 Three Rituals (Daily Ritualist, lifestyle anchoring)",15% prevented churn
At Risk,Mixed (mostly mid-value persona),Win-back with discount (asymmetric per persona),Email + retargeting ads,2-3 emails over 14 days,"E2 cart recovery template (Quick thought, free shipping)",12-18% win-back
Hibernating,Unknown (long-dormant),Last-chance win-back; then suppress from active list,"Single email, no retry","1 email; if no engagement, exclude from sends",Adapt E5 Comparison Test (final opportunity),5-8% reactivation; main goal is list hygiene
Lost,Inactive (any),Suppress from email; revisit in 6 months for fresh campaign,None active,No outbound (saves sender reputation),No active campaign,List hygiene; 1-2% return rate organically
